FPU_Page;FPU_LG_English;FPU_LG_French;FPU_SnomedCT;FPU_DefCSP;FPU_Concepts;FPU_Concepts_Codes;FPU_DefNCI;FPU_Name;FPU_DefMSH;FPU_Code;FPU_URL
Hashimoto's Thyroiditis;"Hashimoto's struma, Struma lymphomatosum, THYROIDITIS, HASHIMOTO, HASHIMOTO DISEASE, STRUMA LYMPHOMATOSA, THYROIDITIS, CHRONIC LYMPHADENOID, THYROIDITIS, LYMPHOID, Hashimoto's Thyroiditis, Chron lymphocytic thyroiditis, THYROIDITIS CHRONIC LYMPHOCYTIC &lt;HASHIMOTOS&gt;, HASHIMOTO THYROIDITIS, HASHIMOTO STRUMA, lymphomatous thyroiditis, HT, HASHIMOTOS DIS, HASHIMOTO DIS, hashimoto's thyroiditis, Struma lymphomatosis (disorder), Hashimoto's thyroiditis (disorder), Hashimoto's thyroiditis (diagnosis), THYROIDITIS HASHIMOTO, THYROIDITIS CHRONIC LYMPHOCYTIC HASHIMOTOS, Chr lymphocyt thyroidit, Hashimoto's Syndrome, Hashimoto's Syndromes, Hashimotos Syndrome, Syndromes, Hashimoto's, Hashimoto Syndrome, Syndrome, Hashimoto's, Hashimoto Disease [Disease/Finding], Hashimoto's Struma, hashimoto's disease, chronic thyroiditis, Disease;Hashimotos, chronic lymphocytic thyroiditis, hashimoto disease, autoimmune thyroiditides, hashimoto thyroiditis, lymphocytic thyroiditis, autoimmune thyroiditis, hashimoto's struma, Hashimoto's thyroiditis, Lymphocytic thyroiditis, Chronic lymphocytic thyroiditis, Autoimmune lymphocytic chronic thyroiditis, Hashimoto thyroiditis, Struma lymphomatosa, Hashimoto's disease, Struma lymphomatosis, Hashimoto thyroiditis (disorder), Hashimoto; thyroiditis, Hashimoto, chronic; thyroiditis, lymphadenoid, lymphocytic; thyroiditis, lymphoid; thyroiditis, lymphomatosa; goiter, lymphomatous; thyroiditis, struma; lymphomatosa, thyroiditis; Hashimoto, thyroiditis; chronic, lymphadenoid, thyroiditis; lymphocytic, thyroiditis; lymphoid, thyroiditis; lymphomatous, Lymphocytic Thyroiditis, Disease, Hashimoto, Hashimoto's Disease, Hashimotos Disease, Disease, Hashimoto's, Chronic Lymphocytic Thyroiditis, Chronic Lymphocytic Thyroiditides, Hashimoto Thyroiditides, Hashimoto Thyroiditis, Lymphocytic Thyroiditides, Chronic, Lymphocytic Thyroiditis, Chronic, Thyroiditides, Chronic Lymphocytic, Thyroiditides, Hashimoto, Thyroiditis, Chronic Lymphocytic, Thyroiditis, Hashimoto, Hashimoto Disease, Hashimotos disease";###############################################################################################################################################################################################################################################################;237537002, 237534009, 21983002, 190297000, 154667002, 267466008;progressive enlargement of the thyroid gland, often associated with hypothyroidism.;Disease or Syndrome (T047);T047;An inflammatory disorder that affects the thyroid gland. It is characterized by the infiltration of the thyroid parenchyma by lymphocytes. It includes Hashimoto thyroiditis and subacute lymphocytic thyroiditis.;Hashimoto Disease;"Chronic autoimmune thyroiditis, characterized by the presence of high serum thyroid AUTOANTIBODIES; GOITER; and HYPOTHYROIDISM.";C0677607;http://www.fpnotebook.com/Endo/Thyroid/HshmtsThyrdts.htm
Hyperthyroidism;###############################################################################################################################################################################################################################################################;HYPERTHYROIDIE, Hyperthyréose, Hyperthyroïdie, Hyperthyroïdisme;34486009, 154655004, 190239004, 267464006;excessive functional activity of the thyroid gland.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Hyperthyroidism;Hypersecretion of THYROID HORMONES from the THYROID GLAND. Elevated levels of thyroid hormones increase BASAL METABOLIC RATE.;C0020550;http://www.fpnotebook.com/Endo/Thyroid/Hyprthyrdsm1.htm
Hyperthyroidism;###############################################################################################################################################################################################################################################################;Thyrotoxicose avec ou sans goitre, THYREOTOXICOSE, Thyrotoxicose, Thyréotoxicose;267373004, 154659005, 190267008, 90739004, 286909009, 154655004, 190239004, 267464006;;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Thyrotoxicosis;###############################################################################################################################################################################################################################################################;C0040156;http://www.fpnotebook.com/Endo/Thyroid/Hyprthyrdsm1.htm
Grave's Disease;"Basedow Disease, Basedow's Disease, Basedows Disease, Disease, Basedow, Exophthalmic Goiter, Exophthalmic Goiters, Goiter, Exophthalmic, Goiters, Exophthalmic, Disease, Basedow's, Disease, Graves', BASEDOW DISEASE, DISEASE GRAVES', EXOPHTHALMIC GOITER, EXOPHTHALMIC GOITRE, FLAJANI DISEASE, GOITER, EXOPHTHALMIC, GRAVES' DISEASE, GOITER EXOPHTHALMIC, HYPERTHYROIDISM &lt;GRAVES DISEASE&gt;, HYPERTHYROIDISM, AUTOIMMUNE, GRD, GRAVES DISEASE, BASEDOW DIS, BASEDOWS DIS, GRAVES DIS, Graves' disease (diagnosis), Grave's disease, Graves' disease (diffuse toxic goiter), grave's disease, Autoimmune hyperthyroidism, Disease Graves', Goiter exophthalmic, GRAVE DISEASE, HYPERTHYROIDISM GRAVES DISEASE, Graves Disease, Basedow disease, Graves Disease [Disease/Finding], Disease;Basedows, basedows disease, hyperthyroidism graves disease, Disease;Graves, disease graves, basedow's disease, graves' disease, graves disease, basedow disease, diseases graves, Basedow's disease, Graves' disease, Graves' disease with exophthalmos, Toxic diffuse goiter with exophthalmos, Exophthalmic goiter, Exophthalmic goitre, Toxic diffuse goitre with exophthalmos, Graves' disease (disorder), Toxic diffuse goiter with exophthalmos (disorder), Basedow's disease (disorder), Flajani, Graves, Basedow, exophthalmic; goiter, exophthalmos; goiter (etiology), exophthalmos; goiter (manifestation), goiter; exophthalmos (etiology), goiter; exophthalmos (manifestation), struma; exophthalmic, Graves' disease [Ambiguous], exophthalmic goiter, Graves' Disease, Disease, Graves, Graves disease, Basedows disease, Graves-Basedow disease";GOITRE EXOPHTALMIQUE, MALADIE DE GRAVES-BASEDOW, Hyperthyroïdie autoimmune, Goitre exophtalmique, Maladie de Basedow, Goitre toxique diffus, Maladie de Graves-Basedow, Maladie de Graves;237823003, 367367004, 237510004, 353295004, 55807009, 190240002, 38591003, 154655004, 267464006, 367449005;"exophthalmos occurring in association with goiter; hyperthyroidism with protrusion of the eyeballs.";Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Graves Disease;###############################################################################################################################################################################################################################################################;C0018213;http://www.fpnotebook.com/Endo/Thyroid/GrvsDs.htm
Perioperative Corticosteroid;Preoperative hormone treatment;Traitement hormonal préopératoire;;;Therapeutic or Preventive Procedure (T061);T061;;Preoperative hormone treatment;;C1535921;http://www.fpnotebook.com/Endo/Surgery/PrprtvCrtcstrd.htm
Goiter;###############################################################################################################################################################################################################################################################;GOITRE, Goitre, non précisé, Hypertrophie thyroïdienne, Goitre non précisé, Thyromégalie, AUGMENTATION VOLUME THYROIDE, Goitre (SF T85 T86), Goitre;237568003, 267370001, 3716002, 190235005, 190232008;enlargement of the thyroid gland.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Goiter;###############################################################################################################################################################################################################################################################;C0018021;http://www.fpnotebook.com/Endo/Thyroid/Gtr.htm
Goiter;###############################################################################################################################################################################################################################################################;;61037007, 190234009;;Disease or Syndrome (T047);T047;;Colloid goiter;;C0221268;http://www.fpnotebook.com/Endo/Thyroid/Gtr.htm
Goiter;"Endemic Goiters, Goiter, Endemic, Goiters, Endemic, Goiter, specified as simple, GOITER ENDEMIC, Goiter, endemic, Iodine goiter, Endemic goiter, Endemic goiter - iodine defic, Endemic goitre - iodine defic, Iod-def-rel (endm) goit,uns, Iod-def-reltd df(endemic)goitr, Iodine-deficiency-related (endemic) goiter, unspecified, Iodine-deficiency-related (endemic) goitre, unspecified, [X]Iod-def-rel (endm) goit,uns, [X]Iodine-deficiency-related (endemic) goiter, unspecified, [X]Iodine-deficiency-related (endemic) goitre, unspecified, simple goiter (diagnosis), iodine deficient endemic goiter, iodine deficient endemic goiter (diagnosis), simple goiter, [X]Iodine-deficiency-related (endemic) goitre, unspecified (disorder), Iodine-deficiency-related endemic goitre (disorder), Goitre, specified as simple, [X]Iodine-deficiency-related (endemic) goiter, unspecified (disorder), Endemic goiter NOS, Iodine-deficiency related diffuse (endemic) goiter, Iodine-deficiency related (endemic) goiter, unspecified, Goiter, Endemic [Disease/Finding], endemic goiter, goiters iodine, iodine goiter, endemic goitre, Simple goiter, Simple iodine deficiency goiter, Endemic goitre, Iodine-deficiency-related diffuse (endemic) goiter, Iodine-deficiency-related diffuse (endemic) goitre, Simple goitre, Simple iodine deficiency goitre, Iodine-deficiency-related endemic goiter, Iodine-deficiency-related endemic goitre, Endemic goiter (disorder), Iodine-deficiency-related endemic goiter (disorder), Simple goiter (disorder), endemic; goiter, iodine-deficiency; goiter (endemic), simple; goiter, struma; endemic, struma; iodine-deficiency (endemic), struma; simple, Simple Goiter, Endemic Goiter";Goitre, précisé simple, Goitre simple, Goitre endémique;190319000, 190316007, 191043000, 267369002, 56805008, 271949009, 190234009;;Disease or Syndrome (T047);T047;;Endemic goiter;###############################################################################################################################################################################################################################################################;C0018022;http://www.fpnotebook.com/Endo/Thyroid/Gtr.htm
Gynecomastia;GYNECOMASTIA, FAMILIAL;;;;Disease or Syndrome (T047);T047;;GYNECOMASTIA, FAMILIAL;;C1844375;http://www.fpnotebook.com/Endo/Sx/Gyncmst.htm
Gynecomastia;###############################################################################################################################################################################################################################################################;GYNECOMASTIE, Augmentation du volume mammaire chez l'homme, AUGM VOLUME SEIN CHEZ L'HOMME, Gynécomastie;4754008, 155963008, 198112004, 266646002;female mammary morphology in a XY genotype.;Disease or Syndrome (T047);T047;"A disorder characterized by excessive development of the breasts in males. Excessive development of the breasts in males; usually the result of hormonal imbalance or treatment with certain drugs.";Gynecomastia;"Enlargement of the BREAST in the males, caused by an excess of ESTROGENS. Physiological gynecomastia is normally observed in NEWBORNS; ADOLESCENT; and AGING males.";C0018418;http://www.fpnotebook.com/Endo/Sx/Gyncmst.htm
Night Sweats;###############################################################################################################################################################################################################################################################;Transpiration nocturne, Sueurs nocturnes;42984000, 139115006, 161859009;;Sign or Symptom (T184);T184;Nocturnal periods of profuse diaphoresis.;Night sweats;;C0028081;http://www.fpnotebook.com/Endo/Sx/NghtSwts.htm
Internal Hernia;"Abdominal Hernia, Hernia of abdominal cavity, HERNIA, INTERNAL, Hernia, abdominal, HERNIAS OF THE ABDOMINAL CAVITY, Hernia of abdominal cavity, NOS, Intra-abdominal hernia, NOS, Abdominal cavity hernia NOS, Unsp.abd.cavity hernia NOS, Unspecified abdominal cavity hernia NOS, abdominal hernia, hernia of abdominal cavity, abdominal hernia (physical finding), abdomen hernia, SECTION 5-6 HERNIAS OF THE ABDOMINAL CAVITY, intra-abdominal hernia, intra-abdominal hernia (diagnosis), Abdominal cavity hernia NOS (disorder), Abdominal hernia NOS, Abdominal herniation, Unspecified abdominal cavity hernia NOS (disorder), Unspecified abdominal hernia, Hernia, Abdominal [Disease/Finding], hernia abdominal, internal hernia, intraperitoneal hernia, abdominal hernias, abdominal herniation, Abdominal hernia, Internal hernia, Hernia of abdominal cavity (disorder), Intra-abdominal hernia (disorder), Intra-abdominal hernia, Intraperitoneal hernia, hernia; abdominal, Hernia of abdominal cavity [Ambiguous], Abdominal Hernias, Hernia, Abdominal, Hernias, Abdominal, HERNIA OF ABDOMINAL CAVITY";Hernie abdominale SAI, Hernie interne, Hernie abdominale, Hernie de la paroi abdominale, Laparocèle;155758000, 155737006, 196799009, 196968002, 196973008, 52515009, 30477007, 359801000, 6515007;;"Disease or Syndrome (T047)
, Anatomical Abnormality (T190)";T047 T190;;Hernia of abdominal cavity;###############################################################################################################################################################################################################################################################;C0178282;http://www.fpnotebook.com/Endo/Surgery/IntrnlHrn.htm
Myxedema Coma;"MYXEDEMA COMA, Myxoedema coma (disorder), myxedema coma, myxedema coma (diagnosis), Myxedema coma, Hypothyroid coma, Myxoedema coma, Myxedema coma (disorder), coma; myxedema, myxedema; coma";Coma de myxoedème, Coma myxoedèmateux;190292006, 21263006;;Disease or Syndrome (T047);T047;;Myxedema coma;;C0238298;http://www.fpnotebook.com/Endo/Thyroid/MyxdmCm.htm
Obesity Surgery;###############################################################################################################################################################################################################################################################;Court-circuit biliopancréatique, Bypass biliopancréatique, Bypass bilio-pancréatique, Dérivation bilio-pancréatique, DBP (Dérivation BilioPancréatique), Dérivation biliopancréatique;;;Therapeutic or Preventive Procedure (T061);T061;;Biliopancreatic Diversion;###############################################################################################################################################################################################################################################################;C0005435;http://www.fpnotebook.com/Endo/Surgery/ObstySrgry.htm
Obesity Surgery;Gastroplasties, Gastroplasty, Gastroplasty, NOS, gastroplasty, Plastic repair with reconstruction of stomach, Gastroplasty (procedure), GP - Gastroplasty, Plastic repair with reconstruction of stomach (procedure);Gastroplastie;9429009, 149361001, 149355004, 265867007;;Therapeutic or Preventive Procedure (T061);T061;;Gastroplasty;###############################################################################################################################################################################################################################################################;C0017193;http://www.fpnotebook.com/Endo/Surgery/ObstySrgry.htm
Obesity Surgery;Bariatric surgery, Weight Loss Surgery, Gastrointestinal Bariatric Surgery, Bariatric Surgery, Bariatric Surgeries, Surgeries, Bariatric, Surgery, Bariatric, weight loss surgery, bariatric surgery;Chirurgie bariatrique, Chirurgie baryatrique, Chirurgie de l'obésité;;surgical treatment of obesity.;Therapeutic or Preventive Procedure (T061);T061;Surgery performed in morbidly obese patients to help promote weight loss. The procedure aims at the reduction of the stomach size and it is usually achieved either with the implantation of a medical device or the removal of part of the stomach.;Bariatric Surgery;Surgical procedures aimed at producing major WEIGHT REDUCTION in patients with MORBID OBESITY.;C1456587;http://www.fpnotebook.com/Endo/Surgery/ObstySrgry.htm
Turner's Syndrome;"Turner's Syndrome, DWARFISM, OVARIAN, TURNER SYNDROME, TURNER'S SYNDROME, TURNER-VARNY SYNDROME, ULLRICH-TURNER SYNDROME, Ullrich-Turner syndrome, XO SYNDROME, Turner syndrome, NOS, Turner's syndrome NOS, Karyotype 45,X, Turner's syndrome, unspecified, monosomy X syndrome, Karyotype 45, X (disorder), Turner's syndrome (diagnosis), Primary ovarian insufficiency, XO genotype, Turner Syndrome, Morgagni-Turner-Albright syndrome, Turner-Albright syndrome, chromosome XO syndrome, genital dwarfism, ovarian dwarfism, pseudonuchal infantilism, primary ovarian insufficiency, Morgagni-Turner syndrome, ovarian short stature syndrome, Shereshevskii-Turner syndrome, Turner syndrome (TS), Ullrich-Turner syndrome (UTS), Turner's syndrome NOS (disorder), Turner Syndrome (XO Syndrome), XO Syndrome, Turner Syndrome [Disease/Finding], gonadal dysgenesis, xo syndrome, bonnevie-ullrich syndrome, turner's syndrome, gonadal dysgenesis syndrome, Syndrome, Ullrich-Turner, Ullrich Turner Syndrome, Ullrich-Turner Syndrome, Pterygolymphangiectasia syndrome, XO syndrome, Turner's syndrome, 45, X syndrome, Karyotype 45, X, TS - Turner's syndrome, X0 - Turner's syndrome, 45X0 - Turner's syndrome, Turner syndrome, Turner syndrome (disorder), chromosome; anomaly, sex, Turner, Morgagni-Turner, Turner-Ullrich, Turner; sex chromosome abnormality, Turner; syndrome, X; monosomy, karyotype; 45,X, monosomy; X, syndrome; Turner, anomaly; chromosomes, chromosomal, sex, Turner, Gonadal dysgenesis - Turner, Turners Syndrome, Monosomy X, turner syndrome";Génotype XO, SYNDROME DE TURNER, Syndrome de Turner;205685008, 268299006, 38804009, 157020008, 268356004, 205691005;"genetic disease that produces sterile females due to monosomy for X chromosome; the ovaries are rudimentary or missing; other abnormalities include short stature, webbed neck, and a broad chest with widely spaced nipples.";"Congenital Abnormality (T019)
, Disease or Syndrome (T047)";T019 T047;###############################################################################################################################################################################################################################################################;Turner Syndrome;###############################################################################################################################################################################################################################################################;C0041408;http://www.fpnotebook.com/Endo/Sex/TrnrsSyndrm.htm
Thyroid Storm;###############################################################################################################################################################################################################################################################;HYPERTHYROIDIE, Crise thyroïdienne aiguë, Basedowisme aigu, Crise thyréotoxique, Crise thyrotoxique;190262002, 29028009;;Disease or Syndrome (T047);T047;;Thyroid Crisis;A dangerous life-threatening hypermetabolic condition characterized by high FEVER and dysfunction of the cardiovascular, the nervous, and the gastrointestinal systems.;C0040127;http://www.fpnotebook.com/Endo/Thyroid/ThyrdStrm.htm
Precocious Puberty;"Pubertas praecox, Puberty, Precocious, ACCELERATED SEXUAL MATURITY, PRECOCIOUS PUBERTY, PUBERTY PRECOCIOUS, SEXUAL PRECOCITY, Precocious true puberty, Sexual precocity, NOS, Premature puberty, Sexual Precocity, MATURATION SEX ACCELERATED, Precocious Puberty, precocious puberty (diagnosis), precocious puberty, (Sexual precocity NOS) or (puberty - precocious) (disorder), Maturation sex accelerated, Accelerated sexual maturation, Accelerated sexual maturity, Early puberty, Precocious puberty NOS, Puberty precocious, True precocious puberty, Puberty, Precocious [Disease/Finding], premature puberty, early puberty, precocious sexual development, puberty precocious, Puberty;precocious, sexual precocity, true precocious puberty, puberty early, Precocious puberty, Sexual precocity, Precocious sexual development, Precocious puberty (disorder), Precocious sexual development (disorder), precocious; puberty, premature; puberty, pubertas praecox, puberty; precocious, puberty; premature, (Sexual precocity NOS) or (puberty - precocious), Puberty - precocious, Sexual precocity NOS";PUBERTE PRECOCE, Puberté précoce SAI, Maturation sexuelle accélérée, Maturité sexuelle accélérée, Puberté précoce vraie, Puberté précoce;154716006, 267488008, 400179000, 123527003, 190575003, 190576002, 70387004;unusually early sexual maturity.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Precocious Puberty;###############################################################################################################################################################################################################################################################;C0034013;http://www.fpnotebook.com/Endo/Sex/PrcsPbrty.htm
Precocious Puberty Causes;"Pubertas praecox, Puberty, Precocious, ACCELERATED SEXUAL MATURITY, PRECOCIOUS PUBERTY, PUBERTY PRECOCIOUS, SEXUAL PRECOCITY, Precocious true puberty, Sexual precocity, NOS, Premature puberty, Sexual Precocity, MATURATION SEX ACCELERATED, Precocious Puberty, precocious puberty (diagnosis), precocious puberty, (Sexual precocity NOS) or (puberty - precocious) (disorder), Maturation sex accelerated, Accelerated sexual maturation, Accelerated sexual maturity, Early puberty, Precocious puberty NOS, Puberty precocious, True precocious puberty, Puberty, Precocious [Disease/Finding], premature puberty, early puberty, precocious sexual development, puberty precocious, Puberty;precocious, sexual precocity, true precocious puberty, puberty early, Precocious puberty, Sexual precocity, Precocious sexual development, Precocious puberty (disorder), Precocious sexual development (disorder), precocious; puberty, premature; puberty, pubertas praecox, puberty; precocious, puberty; premature, (Sexual precocity NOS) or (puberty - precocious), Puberty - precocious, Sexual precocity NOS";PUBERTE PRECOCE, Puberté précoce SAI, Maturation sexuelle accélérée, Maturité sexuelle accélérée, Puberté précoce vraie, Puberté précoce;154716006, 267488008, 400179000, 123527003, 190575003, 190576002, 70387004;unusually early sexual maturity.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Precocious Puberty;###############################################################################################################################################################################################################################################################;C0034013;http://www.fpnotebook.com/Endo/Sex/PrcsPbrtyCs.htm
Hypogonadotropic Hypogonadism;###############################################################################################################################################################################################################################################################;Hypogonadisme hypogonadotrophique, Déficit gonadotrope, Hypogonadisme secondaire;67718002, 33927004;;Disease or Syndrome (T047);T047;;Hypogonadotropic hypogonadism;;C0271623;http://www.fpnotebook.com/Endo/Sex/HypgndtrpcHypgndsm.htm
Kallmann's Syndrome;Syndrome, Kallmann's, Kallmann's Syndrome, Kallmanns Syndrome, Syndrome, Kallmann, HYPOGONADISM, HYPOGONADOTROPIC, WITH ANOSMIA, KALLMANN SYNDROME, OLFACTOGENITAL DYSPLASIA, Gonadotrophin defic + anosmia, KALLMANN SYNDROME 3, KAL3, HYPOGONADOTROPIC HYPOGONADISM AND ANOSMIA, de Morsier's syndrome, Kallmann Syndrome, familial hypogonadism with anosmia, Kallmann's syndrome (diagnosis), Kallmann syndrome 3, congenital anosmia-hypogonadotropic hypogonadism syndrome, hypogonadotropic hypogonadism-anosmia (HHA) syndrome, hypogonadotropic hypogonadism-anosmia syndrome, hypogonadism-anosmia syndrome, Maestre de San Juan-Kallmann-de Morsier syndrome, de Morsier-Gauthier syndrome, Mastre de San Juan-Kallmann syndrome, Maestre-Kallmann-de Morsier syndrome, Kallmann-de Morsier syndrome, de Morsier syndrome, olfacto-ethmoidohypothalamic dysplasia, olfactogenital dysplasia, olfacto-ethmoidodypothalamic dysraphia, hyposmia-hypogonadotropic hypogonadism syndrome, idiopathic hypothalamic hypogonadism, idiopathic hypothalamic hypogonadism (IHH), olfactogenital syndrome, Kallmann Syndrome [Disease/Finding], kallmans syndrome, de morsier syndrome, kallman's syndrome, kallmann syndrome, kallman syndrome, de morsiers syndrome, kallmanns syndrome, Dysplasia olfactogenitalis of De Morsier, Anosmic Hypogonadism, Hypogonadism, Anosmic, Hypogonadisms, Anosmic, Dysplasia Olfactogenitalis of De Morsier, Anosmic Hypogonadisms, Olfacto genital dysplasia, de Morsier-Kallman's syndrome, Kallmann's syndrome, Anosmia eunuchoidism, Dysplasia olfactogenitalis of de Morsier, Kallman syndrome, Kallman's syndrome, Olfactogenital dysplasia, Gonadotrophin deficiency with anosmia, Hypogonadism with anosmia, Hypogonadism with anosmia (disorder), kallmann's syndrome;###############################################################################################################################################################################################################################################################;93559003, 190559001, 33927004;anosmia due to failure of the olfactory lobes to develop, with secondary hypogonadism due to gonadotropic hormone deficiency.;Disease or Syndrome (T047);T047;An X-linked or autosomal dominant genetic syndrome characterized by hypogonadotropic hypogonadism and anosmia.;Kallmann Syndrome;###############################################################################################################################################################################################################################################################;C0162809;http://www.fpnotebook.com/Endo/Sex/KlmnsSyndrm.htm
